date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:29	297/297	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202023%2017:29:32%20GMT	https://roboticsclub.iitd.ac.in/robots.txt		(from )
23:00:29	30231/30231	---M-Z	200	added ('OK')	text/html	etag:%227617-5f193a029341c-gzip%22	https://roboticsclub.iitd.ac.in/	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/index.html	(from )
23:00:30	17499/17499	---M-Z	200	added ('OK')	text/css	etag:%22445b-5eb5320bbcb8d-gzip%22	https://roboticsclub.iitd.ac.in/style/style.css	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/style/style.css	(from https://roboticsclub.iitd.ac.in/)
23:00:30	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Users/Rifdhan/Desktop/trials/droneee/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://roboticsclub.iitd.ac.in/)
23:00:30	6982/6982	---M-Z	200	added ('OK')	application/javascript	etag:%221b46-5eb5320bbcb8d-gzip%22	https://roboticsclub.iitd.ac.in/script/script.js	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/script/script.js	(from https://roboticsclub.iitd.ac.in/)
23:00:31	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%2292fc8c0ccc497925ea4087f2b630c884%22	https://connect.facebook.net/en_GB/sdk.js	C:/Users/Rifdhan/Desktop/trials/droneee/connect.facebook.net/en_GB/sdk.js	(from https://roboticsclub.iitd.ac.in/)
23:00:32	74233/74233	---M--	200	added ('OK')	image/jpeg	etag:%22121f9-5ec1abe3624aa%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/robocon.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/robocon.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:32	212028/212028	---M--	200	added ('OK')	image/jpeg	etag:%2233c3c-5ec1ac0a958ab%22	https://roboticsclub.iitd.ac.in/img/roboAch2.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/roboAch2.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:32	98656/98656	---M--	200	added ('OK')	image/jpeg	etag:%2218160-5ec1ac0a5226d%22	https://roboticsclub.iitd.ac.in/img/roboAch1.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/roboAch1.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:33	241163/241163	---M--	200	added ('OK')	image/jpeg	etag:%223ae0b-5ec1ac0dde73a%22	https://roboticsclub.iitd.ac.in/img/projects/roboarm/2.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/projects/roboarm/2.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:34	135730/135730	---M--	200	added ('OK')	image/jpeg	etag:%2221232-5ec1ac0ce854f%22	https://roboticsclub.iitd.ac.in/img/projects/4leg/1.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/projects/4leg/1.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:34	107382/107382	---M--	200	added ('OK')	image/jpeg	etag:%221a376-5ec1ac0dc50ef%22	https://roboticsclub.iitd.ac.in/img/projects/hexapod/1.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/projects/hexapod/1.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:36	855601/855601	---M--	200	added ('OK')	image/jpeg	etag:%22d0e31-5ec1ac0ca4f11%22	https://roboticsclub.iitd.ac.in/img/team/2019.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/team/2019.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:40	472492/472492	---M--	200	added ('OK')	image/png	etag:%22735ac-5ec1ac0cccfc3%22	https://roboticsclub.iitd.ac.in/img/members/faculty/sunil_jha.png	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/members/faculty/sunil_jha.png	(from https://roboticsclub.iitd.ac.in/)
